ID,mean,std,p50,p85
road2600,20.703000,8.914000,20.054000,28.919000
road2602,20.965000,8.034000,19.301000,28.314000
road2604,20.808000,8.364000,19.132000,28.385000
road2607,8.174000,4.113000,7.952000,12.418000
road2608,21.209000,7.670000,19.930000,28.397000
road2610,15.573000,7.972000,14.367000,21.188000
road2612,22.813000,6.547000,21.976000,29.965000
road2614,21.782000,7.247000,20.455000,28.700000
road2615,11.167000,9.568000,7.902000,21.387000
road2617,12.490000,5.037000,11.202000,17.088000
road2618,17.872000,10.600000,17.198000,28.948000
road2620,28.551000,9.810000,26.983000,37.722000
road2621,21.908000,7.828000,20.099000,29.278000
road2622,8.849000,7.489000,6.805000,15.652000
road2623,15.624000,2.283000,15.414000,18.201000
road2625,20.597000,8.034000,19.481000,28.605000
road2626,8.582000,7.310000,7.282000,14.863000
road2627,10.158000,9.033000,7.444000,18.733000
road2628,20.796000,8.014000,19.826000,27.995000
road2631,21.450000,6.619000,20.425000,27.614000
road2633,9.909000,6.136000,8.251000,13.824000
road2634,10.744000,9.794000,6.429000,21.984000
road2635,7.527000,4.574000,6.508000,10.674000
road2637,15.981000,4.613000,16.351000,20.039000
road2638,7.112000,3.447000,6.586000,9.410000
road2639,17.311000,4.514000,16.626000,21.198000
road2640,4.416000,4.497000,2.618000,8.392000
road2642,16.528000,5.766000,16.004000,20.720000
road2643,14.827000,4.190000,13.884000,19.093000
road2644,13.673000,3.520000,13.569000,17.348000
road2647,13.187000,2.515000,13.043000,15.700000
road2648,12.800000,2.755000,13.048000,15.107000
road2649,6.291000,5.141000,4.823000,9.398000
road2650,13.912000,7.849000,12.238000,16.028000
road2652,11.008000,7.113000,8.994000,19.058000
road2654,17.198000,7.777000,16.066000,23.176000
road2655,12.948000,7.055000,13.248000,20.298000
road2656,22.159000,8.983000,20.987000,30.992000
road2658,11.121000,6.859000,9.732000,18.648000
road2659,13.392000,6.259000,13.715000,16.193000
road266,16.969000,4.350000,16.620000,19.386000
road2662,7.668000,7.779000,4.308000,15.615000
road2666,11.642000,4.938000,10.798000,14.280000
road2668,16.061000,9.388000,15.609000,25.540000
road2670,26.542000,10.532000,25.229000,37.340000
road2671,13.468000,5.731000,12.708000,16.584000
road2673,14.568000,9.600000,14.110000,24.220000
road2674,19.874000,8.606000,18.629000,28.314000
road2676,12.965000,5.448000,12.543000,17.901000
road2677,23.913000,8.753000,22.587000,32.159000
road2680,15.636000,8.031000,14.970000,22.703000
road2682,17.953000,6.004000,17.473000,23.127000
road2683,15.292000,9.159000,14.310000,21.168000
road2684,26.059000,9.287000,24.588000,35.306000
road2686,9.635000,4.807000,8.982000,13.904000
road2688,10.777000,3.983000,10.638000,13.171000
road2689,16.673000,10.095000,15.342000,22.127000
road269,19.977000,6.993000,19.002000,26.596000
road2690,12.449000,2.537000,12.292000,14.586000
road2692,10.498000,2.406000,10.649000,12.670000
road2693,12.108000,2.711000,12.206000,14.399000
road2694,14.681000,9.154000,12.927000,16.234000
road2696,14.723000,4.293000,14.459000,17.653000
road2698,12.605000,4.488000,12.204000,14.879000
road2699,16.066000,9.038000,14.789000,20.213000
road27,23.850000,9.516000,23.105000,33.503000
road2700,11.569000,5.307000,10.836000,14.604000
road2702,10.219000,3.400000,10.004000,13.142000
road2703,16.001000,7.915000,14.221000,22.508000
road2704,10.155000,2.286000,10.333000,11.998000
road2706,16.001000,7.915000,14.221000,22.508000
road2707,16.001000,7.915000,14.221000,22.508000
road271,26.506000,6.743000,25.228000,33.250000
road2712,15.393000,7.457000,14.042000,22.480000
road2716,14.285000,4.232000,13.554000,18.178000
road2718,15.061000,5.674000,14.508000,19.840000
road2719,12.716000,3.676000,12.386000,15.959000
road272,27.444000,9.450000,26.109000,37.111000
road273,17.577000,7.087000,16.153000,25.084000
road2733,15.855000,4.091000,15.287000,20.053000
road2734,11.921000,2.874000,12.149000,14.498000
road2735,16.216000,3.339000,15.343000,18.818000
road2737,13.132000,2.420000,12.777000,15.634000
road2738,22.881000,6.551000,22.431000,29.040000
road2740,16.131000,6.425000,15.110000,21.407000
road2743,16.006000,6.752000,14.838000,20.721000
road2744,19.215000,9.140000,18.416000,23.757000
road2747,16.544000,4.790000,16.319000,20.297000
road2748,23.557000,8.687000,22.497000,32.197000
road2749,11.117000,2.591000,10.588000,14.024000
road275,11.808000,3.072000,12.283000,14.449000
road2750,23.235000,10.112000,22.235000,34.034000
road2752,11.502000,2.659000,11.352000,14.108000
road2753,13.119000,2.042000,13.254000,14.341000
road276,10.762000,4.350000,10.869000,15.499000
road2763,19.280000,7.625000,17.897000,26.946000
road2769,17.287000,7.015000,16.533000,24.183000
road277,16.898000,6.436000,15.393000,23.813000
road2772,15.556000,6.050000,14.816000,18.420000
road2783,20.583000,6.705000,20.528000,27.962000
road2784,15.562000,4.573000,15.098000,18.977000
road2785,10.837000,3.160000,10.905000,13.628000
road2788,30.351000,7.667000,29.147000,37.162000
road279,17.243000,6.527000,15.538000,24.856000
road2790,14.171000,10.123000,13.120000,25.285000
road2792,17.157000,10.385000,16.397000,27.990000
road2793,17.005000,4.987000,15.831000,22.164000
road2794,16.137000,4.790000,15.154000,20.213000
road2796,15.764000,4.997000,15.078000,19.848000
road2797,12.393000,5.388000,12.450000,13.876000
road28,24.428000,8.641000,23.116000,32.918000
road2800,18.446000,7.156000,16.884000,20.122000
road2801,14.482000,4.958000,14.415000,19.428000
road2802,22.671000,7.925000,21.426000,30.497000
road2804,5.689000,4.006000,4.492000,8.900000
road2805,20.336000,4.530000,19.762000,23.892000
road2806,17.221000,8.830000,16.564000,25.224000
road2808,14.645000,9.026000,14.017000,22.596000
road2809,8.729000,7.578000,8.034000,13.347000
road281,13.864000,4.885000,12.377000,19.118000
road2811,26.666000,9.211000,27.929000,34.417000
road2813,16.576000,7.771000,15.184000,22.207000
road2815,27.029000,5.118000,26.827000,31.483000
road2816,12.063000,11.695000,6.925000,25.711000
road2817,20.001000,7.359000,18.937000,26.533000
road2818,24.256000,10.632000,24.293000,34.251000
road2819,22.194000,12.642000,21.132000,35.417000
road2821,13.645000,6.084000,13.356000,18.783000
road2823,23.936000,8.081000,22.285000,31.837000
road2824,13.645000,6.084000,13.356000,18.783000
road2825,7.203000,4.805000,6.537000,12.184000
road2826,19.085000,3.600000,18.670000,22.480000
road2827,13.929000,4.145000,14.652000,17.418000
road2828,13.468000,6.113000,13.941000,18.696000
road2829,8.288000,4.805000,6.107000,15.742000
road283,17.001000,5.034000,16.471000,21.379000
road2830,14.170000,4.838000,14.939000,17.613000
road2831,27.828000,9.376000,26.508000,37.218000
road2833,14.582000,3.466000,13.898000,18.114000
road2834,16.754000,8.255000,15.347000,24.434000
road2836,16.031000,7.914000,15.133000,23.832000
road2837,20.453000,7.036000,19.806000,26.824000
road284,14.087000,4.023000,12.637000,17.811000
road2841,24.914000,9.579000,23.327000,34.265000
road2843,7.040000,5.623000,4.782000,11.663000
road2844,16.974000,9.518000,16.751000,26.588000
road2845,12.669000,3.138000,12.937000,15.477000
road285,14.680000,4.536000,14.578000,17.182000
road2850,11.782000,9.149000,8.078000,20.483000
road2853,20.554000,7.480000,19.857000,26.683000
road2859,19.324000,9.479000,18.828000,28.517000
road2860,21.875000,9.470000,20.385000,31.781000
road2861,11.374000,2.655000,11.308000,13.513000
road2863,8.786000,3.507000,9.046000,12.566000
road2864,12.470000,3.647000,12.078000,15.583000
road2867,6.574000,4.545000,4.560000,12.201000
road2868,18.496000,2.788000,18.605000,20.256000
road2869,13.818000,3.170000,13.697000,15.912000
road287,13.318000,4.818000,13.441000,17.860000
road2870,14.525000,3.141000,14.379000,16.939000
road2871,21.021000,7.069000,20.242000,27.364000
road2873,26.640000,9.189000,25.650000,35.630000
road2874,21.030000,8.352000,19.934000,29.242000
road2876,21.670000,7.699000,20.471000,29.004000
road2878,17.858000,9.061000,17.589000,26.929000
road288,11.668000,3.089000,10.979000,13.813000
road2880,24.552000,7.413000,23.133000,31.168000
road2883,12.710000,2.506000,12.420000,15.061000
road2885,19.115000,5.230000,18.330000,23.624000
road2889,13.186000,2.740000,13.089000,15.940000
road2890,9.681000,4.888000,8.810000,13.947000
road2891,16.566000,2.995000,16.660000,18.612000
road2893,22.221000,8.244000,21.097000,29.001000
road2894,11.104000,2.322000,10.431000,12.190000
road2895,15.296000,3.586000,15.169000,18.325000
road2897,18.023000,4.045000,17.659000,21.599000
road2899,10.298000,3.103000,10.625000,13.217000
road290,23.837000,8.211000,23.289000,30.963000
road2902,9.154000,8.189000,5.448000,18.638000
road2903,17.537000,4.238000,17.156000,21.104000
road2904,15.629000,4.272000,15.626000,19.174000
road2906,17.068000,5.759000,16.694000,21.183000
road2907,17.392000,7.973000,16.066000,19.102000
road2908,4.757000,4.562000,2.946000,9.202000
road291,22.067000,5.627000,21.214000,26.843000
road2910,6.918000,5.467000,4.900000,12.628000
road2911,8.199000,5.550000,7.751000,12.712000
road2912,15.017000,3.770000,14.844000,18.722000
road2914,14.181000,7.953000,12.675000,15.731000
road2915,13.072000,2.088000,13.261000,14.596000
road2917,6.272000,3.809000,5.634000,10.136000
road2918,11.589000,7.204000,9.934000,19.340000
road2919,19.282000,9.818000,17.373000,27.539000
road292,12.971000,4.630000,11.798000,16.899000
road2920,19.867000,5.378000,19.086000,24.455000
road2922,17.928000,5.294000,17.371000,22.028000
road2924,21.667000,5.062000,20.879000,26.589000
road2925,18.721000,5.054000,18.760000,24.090000
