CONNECTION ID,# EDGES,EDGE IDS
road320,1,-4158220#2
road321,2,-524106174#0,250466875
road322,1,116371765
road323,1,524106174#0
road324,2,-250466875,524106174#0
road325,4,-4158221#7,-500546536#2,4483329#3,613159902#0
road326,1,-4483329#3
road327,4,-613159889#0,-613159889#1,613159889#0,613159889#1
road328,1,-4158221#6
road329,4,-4483329#3,-613159902#0,4158221#7,500546536#2
road330,8,-500546536#1,-500546536#2,-613159902#0,-613159902#1,500546536#1,500546536#2,613159902#0,613159902#1
road331,2,-500546536#1,613159902#1
road332,2,-4236949#0,4236949#0
road333,1,-500546536#0
road334,2,-613159902#1,500546536#1
road335,2,4236949#1,613159902#2
road336,1,-40228534
road337,1,40228534
road338,2,-7985980#0,7985980#0
road339,1,7544085#1
road340,1,7985980#1
road341,2,-4447349#0,4447349#0
road342,1,-4447349#0
road343,1,4447349#1
road344,1,-4447349#0
road345,1,37783469
road346,1,4447349#0
road347,1,-2937348#1
road348,8,-2937348#2,-307891592,-37783570,-40334292,2937348#2,307891592,37783570,40334292
road349,1,-37783469
road350,1,37308933#0
road351,2,-22925713,-37804500#4
road352,4,-37804499,-37804500#5,37804499,37804500#5
road353,1,22925712#0
road354,2,-22925714,-22925715
road355,1,22925713
road356,2,22925714,22925715
road357,5,-26709645#0,-9195640,26709645#0,26709655,9195640
road358,1,26709645#0
road359,1,-4680836#1
road360,1,-4680840
road361,1,26781002
road362,4,-19727047,-22760646#0,19727047,22760646#0
road363,1,-19727047
road364,1,-22760646#0
road365,2,19727047,22760646#0
road366,6,-22760646#0,22760646#0,54567246#0,54567246#1,8591250#0,8591250#1
road367,1,22760646#0
road368,1,4680851#0
road369,1,-396327478#1
road370,4,-396327478#2,-396327478#3,396327478#2,396327478#3
road371,1,396327478#3
road372,1,-8386760#0
road373,2,8386760#1,8386761#1
road374,1,8096701#0
road375,2,8386761#0,8386761#1
road376,1,8386761#1
road377,1,-8096701#0
road378,1,-8363652#1
road379,1,-8386772#0
road380,1,8096701#1
road381,1,8386772#1
road382,10,-207115848,-68028615,-8386768#1,-8386773#1,-8386773#2,207115848,68028615,8386768#1,8386773#1,8386773#2
road383,2,-68028615,17896746
road384,1,-8386768#0
road385,2,-8386773#1,8386769
road386,1,8386774#0
road387,12,-26838536,-681764414#0,-681764414#1,-687332650,-687471322,-8386774#1,26838536,681764414#0,681764414#1,687332650,687471322,8386774#1
road388,1,-8386774#0
road389,1,4680885
road390,9,108285793#0,22597564#0,22597564#1,22597569#0,22597569#1,474064711,673447483#1,676598072,676598073
road391,1,108285793#1
road392,1,673447483#2
road393,19,-270535417,-33232746#0,-33232746#1,-33232746#2,-673733343#0,-673733343#1,-673733343#2,108285793#1,108285811,270535417,33232746#0,33232746#1,33232746#2,673733343#0,673733343#1,673733343#2,681767533,681767534#0,681767534#1
road394,1,-96885307
road395,1,33232746#2
road396,1,474064711
road397,2,-564115127,16294198
road398,10,201491583#0,201491583#1,201491583#2,201491584#0,201491587#0,201491587#1,201493132,299652848,7744558#0,7744558#1
road399,1,201491584#1
road400,2,501181888#0,8347028#2
road401,1,501181888#1
road402,18,-15693515#0,-36775557,15693515#0,26072429#0,26072429#1,36775548#0,36775548#1,36775548#2,36775549#0,36775550#1,36775550#2,36775550#3,36775550#4,36775557,43573215#0,500005092,648549848#1,648549848#2
road403,3,-36775557,26072429#1,36775549#1
road404,3,-36775559,15693515#1,36775557
road405,1,43573215#0
road406,8,-36834285,-59374120#0,26072429#2,36775550#0,36834285,500005091,59374120#0,7744565#1
road407,2,36775550#0,36775557
road408,1,500005090#0
road409,2,59374120#0,7744565#1
road410,2,-4607834,53368567
road411,1,4607834
road412,2,-53368577,53368577
road413,2,53368576,53368577
road414,1,-166482549#0
road415,6,-166482549#1,-281500654,-4607841,166482549#1,281500654,4607841
road416,1,48379501
road417,2,-119438251,119438251
road418,1,119438305#2
road419,1,-30446946
road420,1,119438305#0
road421,2,517047608#3,591927087
road422,1,517047608#1
road423,1,517047608#2
road424,20,-2467171#0,-2467171#1,-48379493#0,-48379493#1,-48379494,-48379497#1,201733596,233811551#0,233811551#1,2467171#0,2467171#1,280251141,280251144,4484039#0,4484039#1,48379490,48379493#0,48379493#1,48379494,48379497#1
road425,1,-47009633#4
road426,1,233811549#0
road427,1,2467171#1
road428,1,517047608#0
road429,1,233811551#0
road430,18,-19803901#0,-2498957#2,-2498964#0,-2498964#1,-2498964#2,-2498997#0,-48379487#0,-48379487#1,-48379488,19803901#0,2498957#2,2498964#0,2498964#1,2498964#2,2498997#0,48379487#0,48379487#1,48379488
road431,2,-2498957#1,19803901#0
road432,2,-381871422#0,48379492
road433,1,2498964#3
road434,1,2498997#0
