ID,mean,std,p50,p85
-11668750,15.161000,4.183000,14.288000,17.993000
-11669044,13.849000,4.717000,13.533000,16.248000
-11669054,13.938000,3.423000,13.615000,17.021000
-11669120,9.075000,3.862000,8.928000,12.158000
-11669334,17.311000,3.819000,16.863000,20.296000
-116974799#0,4.875000,6.617000,2.175000,9.291000
-116974799#1,4.875000,6.617000,2.175000,9.291000
-11824544,12.530000,2.844000,12.071000,14.670000
-11824759#0,14.119000,3.363000,14.403000,16.584000
-11824759#1,14.119000,3.363000,14.403000,16.584000
-11824759#2,14.119000,3.363000,14.403000,16.584000
-11827318#0,15.478000,3.022000,14.816000,18.115000
-11827318#1,15.478000,3.022000,14.816000,18.115000
-11827368#0,15.169000,6.481000,14.297000,19.864000
-11827368#1,15.169000,6.481000,14.297000,19.864000
-11827368#2,15.169000,6.481000,14.297000,19.864000
-11827368#3,15.169000,6.481000,14.297000,19.864000
-11827368#4,15.169000,6.481000,14.297000,19.864000
-11827368#5,15.169000,6.481000,14.297000,19.864000
-11827759#0,9.263000,4.421000,8.640000,13.617000
-11827759#1,9.263000,4.421000,8.640000,13.617000
-11850147#0,9.354000,6.377000,8.589000,13.779000
-11850147#2,9.354000,6.377000,8.589000,13.779000
-11850147#3,9.354000,6.377000,8.589000,13.779000
-11850147#4,9.354000,6.377000,8.589000,13.779000
-118705181#0,9.623000,9.202000,6.477000,18.967000
-118705181#1,9.623000,9.202000,6.477000,18.967000
-118705190#0,6.970000,7.982000,3.768000,14.055000
-118705190#1,6.970000,7.982000,3.768000,14.055000
-11910018#0,17.613000,8.732000,17.441000,25.915000
-11910018#1,17.613000,8.732000,17.441000,25.915000
-11910018#2,17.613000,8.732000,17.441000,25.915000
-119724182,13.680000,8.654000,12.483000,22.025000
-11994716#0,13.882000,4.515000,13.760000,17.496000
-11994716#1,13.882000,4.515000,13.760000,17.496000
-11994716#2,13.882000,4.515000,13.760000,17.496000
-11995381#0,14.154000,6.905000,13.333000,19.815000
-11995381#1,14.154000,6.905000,13.333000,19.815000
-11995740#0,19.775000,7.142000,18.665000,26.250000
-11995740#1,19.775000,7.142000,18.665000,26.250000
-120241877,19.045000,10.837000,16.895000,27.519000
