CONNECTION ID,# EDGES,EDGE IDS
road453,1,-44077108#1
road454,1,44077108#1
road455,1,-77691887
road456,1,77691887
road457,1,-73540509#8
road458,1,73540509#8
road459,1,-210709325
road460,1,210709325
road461,1,-210709360
road462,1,210709360
road463,1,-11182364
road464,1,11182364
road465,1,-210709352
road466,1,210709349
road467,1,-213563529
road468,1,213563529
road469,1,49887047
road470,1,32086494
road471,1,548660523
road472,1,-73817079#0
road473,1,73817079#0
road474,1,-213546015
road475,1,210605407
road476,1,-11200570#0
road477,1,11200570#0
road478,1,-157610626#7
road479,1,157610626#7
road480,1,-210605791
road481,1,210605791
road482,1,-210605814
road483,1,210605814
road484,1,-135787537
road485,1,11203043#0
road486,1,127605036
road487,1,-11203043#0
road488,1,11203043#0
road489,1,-11203043#0
road490,1,11203043#0
road491,1,-11203043#0
road492,1,11203043#0
road493,1,-11203043#0
road494,1,11203043#0
road495,1,-11203043#0
road496,1,11203043#0
road497,1,-11203043#0
road498,1,11203043#0
road499,1,-11203043#0
road500,1,11203043#0
road501,1,-11203043#0
road502,1,11203043#0
road503,1,-11203043#0
road504,1,11186205
road505,1,11203043#1
road506,1,-11203043#1
road507,1,11203043#1
road508,1,-11203043#1
road509,1,11203043#1
road510,1,-11203043#1
road511,1,11203043#1
road512,1,-11203043#1
road513,1,11203043#1
road514,1,-11203043#1
road515,1,11203043#1
road516,1,-11203043#1
road517,1,11203043#1
road518,1,-11203043#1
road519,1,11203043#1
road520,1,-11203043#1
road521,1,11203043#1
road522,1,-11203043#1
road523,1,-77691298#1
road524,1,77691298#1
road525,1,-210709379#0
road526,1,11184323
road527,1,210709379#1
road528,1,-11201515
road529,1,11201515
road530,1,-44077108#1
road531,1,44077108#1
road532,1,-77691887
road533,1,77691887
road534,1,-73540509#8
road535,1,73540509#8
road536,1,-210709325
road537,1,210709325
road538,1,-210709360
road539,1,210709360
road540,1,-11182364
road541,1,11182364
road542,1,-210709351
road543,1,210709352
road544,1,-213563529
road545,1,213563529
road546,1,49887047
road547,1,32086494
road548,1,548660523
road549,1,-73817079#0
road550,1,73817079#0
road551,1,-213546015
road552,1,213546015
road553,1,-11200570#0
road554,1,11200570#0
road555,1,-157610626#7
road556,1,157610626#7
road557,1,-210605791
road558,1,210605791
road559,1,-210605814
road560,1,210605814
road561,1,-135787537
road562,1,135787537
road563,1,77691298#1
road564,1,-77691298#1
road565,1,-210709379#0
road566,1,210709379#0
road567,1,-11201515
road568,1,11201515
road569,1,-44077108#1
road570,1,44077108#1
road571,1,-77691887
road572,1,77691887
road573,1,-73540509#8
road574,1,73540509#8
road575,1,-210709325
road576,1,210709325
road577,1,210709360
road578,1,-210709360
road579,1,-11182364
road580,1,11182364
road581,1,-11181861
road582,1,210709351
road583,1,-157391115
road584,1,-213563529
road585,1,213563529
road586,1,49887047
road587,1,32086494
road588,1,548660523
road589,1,-84084528#4
road590,1,11204247#0
road591,1,73817079#0
road592,1,-213546016
road593,1,213546016
road594,1,-213546016
road595,1,213546016
road596,2,-213546015,213546015
road597,1,-213546016
road598,1,213546015
road599,1,-11200570#0
road600,1,11200570#0
road601,1,-157610626#7
road602,1,157610626#7
road603,1,-210605784
road604,1,210605791
road605,1,-210605814
road606,1,210605814
road607,1,-135787537
road608,1,135787537
road609,1,-77691298#1
road610,1,77691298#1
road611,1,210709379#0
road612,1,-210709379#0
road613,1,-11201515
road614,1,11201515
road615,1,-11201515
road616,1,157847888
road617,1,-44077108#1
road618,1,44077108#1
road619,1,-77691887
road620,1,77691887
road621,1,-73540509#8
road622,1,73540509#8
road623,1,-210709325
road624,1,210709325
road625,1,-210709360
road626,1,210709360
road627,1,-11182364
road628,1,11182364
road629,1,-11181861
road630,1,11181861
road631,1,-157391115
road632,1,157391115
road633,1,-213563529
road634,1,213563529
road635,1,49887047
road636,1,32086494
road637,1,548660523
road638,1,-84084528#4
road639,1,84084528#4
road640,1,-84084528#4
road641,1,84084528#4
road642,2,-11204247#0,11204247#0
road643,1,-11204247#0
road644,1,11204247#1
road645,1,-11204247#1
road646,1,11204247#1
road647,1,-11204247#1
road648,1,213546016
road649,1,11183460
road650,1,-11183460
road651,1,11183460
road652,1,-11183460
road653,1,11183460
road654,1,-11183460
road655,1,11183460
road656,1,-11183460
road657,1,11183460
road658,1,-11183460
road659,1,11183460
road660,1,-11183460
road661,1,11183460
road662,1,-11183460
road663,1,11183460
road664,1,-11183460
road665,1,11183460
road666,1,-11183460
road667,1,11183460
road668,1,-11183460
road669,1,-11200570#0
road670,1,11200570#0
road671,1,-157610626#7
road672,1,157610626#7
road673,1,-210605785
road674,1,210605784
road675,1,-210605814
road676,1,210605814
road677,1,-135787537
road678,1,135787537
road679,1,77691298#1
road680,1,-77691298#1
road681,1,-210709379#0
road682,1,210709379#0
road683,1,-157847888
road684,1,157847888
road685,1,-157847888
road686,1,-44077108#1
road687,1,44077108#1
road688,1,-77691887
road689,1,77691887
road690,1,-73540509#8
road691,1,73540509#8
road692,1,-11189849
road693,1,210709325
road694,1,-210709360
road695,1,210709360
road696,1,-11182364
road697,1,11182364
road698,1,-11181861
road699,1,11181861
road700,1,-157391115
road701,1,157391115
road702,1,213563529
road703,1,-213563529
road704,1,49887047
road705,1,32086494
road706,1,548660523
road707,1,-127605051#4
road708,1,-84084528#2
road709,2,-84084528#3,84084528#3
road710,1,84084528#4
road711,1,-11183460
road712,1,11183460
road713,1,-11183460
